,player,season,per,ts_pct,usg_pct,bpm,vorp,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
219,Hakeem Olajuwon,1990-91,24.3,0.549,25.0,6.2,4.3,0.6341463414634146,0.0,4.0,960.0,0.004,56.0,36.8,21.2,13.8,2.3,2.2,3.9,0.508,0.0,0.769,8.6,0.201
220,Tim Hardaway,1990-91,20.9,0.547,24.7,4.4,5.2,0.5365853658536586,0.0,1.0,960.0,0.001,82.0,39.2,22.9,4.0,9.7,2.6,0.1,0.476,0.385,0.803,9.9,0.148
221,Kevin McHale,1990-91,21.2,0.606,23.9,3.1,2.7,0.6829268292682927,0.0,1.0,960.0,0.001,68.0,30.4,18.4,7.1,1.9,0.4,2.1,0.553,0.405,0.829,7.9,0.182
222,Michael Jordan,1991-92,27.7,0.579,31.7,9.7,9.2,0.8170731707317073,80.0,900.0,960.0,0.938,80.0,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
223,Clyde Drexler,1991-92,23.6,0.56,28.7,8.7,7.4,0.6951219512195121,12.0,561.0,960.0,0.584,76.0,36.2,25.0,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
224,David Robinson,1991-92,27.5,0.597,24.7,9.4,7.4,0.573170731707317,2.0,337.0,960.0,0.351,68.0,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
225,Karl Malone,1991-92,25.4,0.599,30.3,5.7,5.9,0.6707317073170732,1.0,262.0,960.0,0.273,81.0,37.7,28.0,11.2,3.0,1.3,0.6,0.526,0.176,0.778,15.1,0.237
226,Patrick Ewing,1991-92,22.8,0.563,27.2,4.9,5.5,0.6219512195121951,0.0,100.0,960.0,0.104,82.0,38.4,24.0,11.2,1.9,1.1,3.0,0.522,0.167,0.738,13.0,0.198
227,Chris Mullin,1991-92,19.9,0.586,23.6,3.7,4.8,0.6707317073170732,0.0,81.0,960.0,0.084,81.0,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
228,Mark Price,1991-92,22.7,0.61,24.1,5.8,4.2,0.6951219512195121,0.0,66.0,960.0,0.069,72.0,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
229,Tim Hardaway,1991-92,19.1,0.537,24.4,2.8,4.1,0.6707317073170732,0.0,64.0,960.0,0.067,81.0,41.1,23.4,3.8,10.0,2.0,0.2,0.461,0.338,0.766,9.2,0.132
230,Scottie Pippen,1991-92,21.5,0.555,24.6,6.1,6.4,0.8170731707317073,1.0,32.0,960.0,0.033,82.0,38.6,21.0,7.7,7.0,1.9,1.1,0.506,0.2,0.76,12.7,0.192
231,Dennis Rodman,1991-92,17.0,0.574,11.1,2.8,4.0,0.5853658536585366,0.0,26.0,960.0,0.027,82.0,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
232,Brad Daugherty,1991-92,23.0,0.629,23.6,4.8,4.5,0.6951219512195121,0.0,24.0,960.0,0.025,73.0,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0.0,0.777,11.7,0.213
233,Charles Barkley,1991-92,24.5,0.612,25.1,6.3,6.1,0.4268292682926829,0.0,18.0,960.0,0.019,75.0,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
234,John Stockton,1991-92,22.8,0.59,19.9,8.7,8.1,0.6707317073170732,0.0,18.0,960.0,0.019,82.0,36.6,15.8,3.3,13.7,3.0,0.3,0.482,0.407,0.842,13.4,0.215
235,Larry Bird,1991-92,21.0,0.547,24.7,5.5,3.1,0.6219512195121951,0.0,3.0,960.0,0.003,45.0,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159
236,Kevin Johnson,1991-92,19.9,0.561,23.6,3.5,4.0,0.6463414634146342,0.0,2.0,960.0,0.002,78.0,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10.0,0.165
237,Danny Manning,1991-92,19.7,0.577,23.1,4.3,4.6,0.5487804878048781,0.0,1.0,960.0,0.001,82.0,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0.0,0.725,9.8,0.162
238,Detlef Schrempf,1991-92,19.5,0.617,21.1,3.2,3.3,0.4878048780487805,0.0,1.0,960.0,0.001,80.0,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181
239,Charles Barkley,1992-93,25.9,0.596,26.9,7.8,7.1,0.7560975609756098,59.0,835.0,980.0,0.852,76.0,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,14.4,0.242
240,Hakeem Olajuwon,1992-93,27.3,0.577,28.8,7.5,7.8,0.6707317073170732,22.0,647.0,980.0,0.66,82.0,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,15.8,0.234
241,Michael Jordan,1992-93,29.7,0.564,34.7,11.2,10.2,0.6951219512195121,13.0,565.0,980.0,0.577,78.0,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
242,Patrick Ewing,1992-93,20.8,0.546,29.7,3.4,4.0,0.7317073170731707,4.0,359.0,980.0,0.366,81.0,37.1,24.2,12.1,1.9,0.9,2.0,0.503,0.143,0.719,10.6,0.17
243,Dominique Wilkins,1992-93,24.3,0.57,31.9,5.4,4.9,0.524390243902439,0.0,54.0,980.0,0.055,71.0,37.3,29.9,6.8,3.2,1.0,0.4,0.468,0.38,0.828,10.5,0.191
244,David Robinson,1992-93,24.2,0.569,26.4,6.4,6.8,0.5975609756097561,0.0,33.0,980.0,0.034,82.0,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
245,Shaquille O'Neal,1992-93,22.9,0.584,27.0,3.5,4.3,0.5,0.0,30.0,980.0,0.031,81.0,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.592,10.4,0.163
246,Karl Malone,1992-93,26.2,0.612,28.4,7.3,7.3,0.573170731707317,0.0,10.0,980.0,0.01,82.0,37.8,27.0,11.2,3.8,1.5,1.0,0.552,0.2,0.74,15.4,0.238
247,Mark Price,1992-93,22.1,0.609,24.5,5.3,4.4,0.6585365853658537,0.0,10.0,980.0,0.01,75.0,31.7,18.2,2.7,8.0,1.2,0.1,0.484,0.416,0.948,9.8,0.197
248,Brad Daugherty,1992-93,22.0,0.635,21.1,4.9,4.7,0.6585365853658537,0.0,1.0,980.0,0.001,71.0,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
249,Clyde Drexler,1992-93,20.7,0.517,26.1,5.5,3.2,0.6219512195121951,0.0,1.0,980.0,0.001,49.0,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6.0,0.171
250,Joe Dumars,1992-93,17.6,0.555,24.5,2.1,3.2,0.4878048780487805,0.0,1.0,980.0,0.001,77.0,40.2,23.5,1.9,4.0,1.0,0.1,0.466,0.375,0.864,9.1,0.141
251,Shawn Kemp,1992-93,20.4,0.547,24.2,1.9,2.6,0.6707317073170732,0.0,1.0,980.0,0.001,78.0,33.1,17.8,10.7,2.0,1.5,1.9,0.492,0.0,0.712,9.1,0.169
252,John Stockton,1992-93,21.3,0.584,19.9,6.6,6.2,0.573170731707317,0.0,1.0,980.0,0.001,82.0,34.9,15.1,2.9,12.0,2.4,0.3,0.486,0.385,0.798,10.6,0.177
253,Hakeem Olajuwon,1993-94,25.3,0.565,29.8,6.8,7.3,0.7073170731707317,66.0,889.0,1010.0,0.88,80.0,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
254,David Robinson,1993-94,30.7,0.577,32.0,11.9,11.4,0.6707317073170732,24.0,730.0,1010.0,0.723,80.0,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20.0,0.296
255,Scottie Pippen,1993-94,23.2,0.544,27.1,7.7,6.8,0.6707317073170732,7.0,390.0,1010.0,0.386,72.0,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194
256,Shaquille O'Neal,1993-94,28.5,0.605,29.0,6.8,7.2,0.6097560975609756,3.0,289.0,1010.0,0.286,81.0,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0.0,0.554,16.9,0.252
257,Patrick Ewing,1993-94,22.9,0.551,29.8,5.2,5.5,0.6951219512195121,1.0,255.0,1010.0,0.252,79.0,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211
258,Gary Payton,1993-94,17.8,0.526,21.6,3.1,3.7,0.7682926829268293,0.0,20.0,1010.0,0.02,82.0,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,9.3,0.155
259,Shawn Kemp,1993-94,22.9,0.593,24.2,4.4,4.2,0.7682926829268293,0.0,17.0,1010.0,0.017,79.0,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216
260,Karl Malone,1993-94,22.9,0.55,28.0,5.7,6.5,0.6463414634146342,0.0,17.0,1010.0,0.017,82.0,40.6,25.2,11.5,4.0,1.5,1.5,0.497,0.25,0.694,13.4,0.193
261,Mark Price,1993-94,22.7,0.586,24.6,6.4,5.0,0.573170731707317,0.0,7.0,1010.0,0.007,76.0,31.4,17.3,3.0,7.8,1.4,0.1,0.478,0.397,0.888,10.0,0.201
262,Charles Barkley,1993-94,22.8,0.563,26.5,5.2,4.2,0.6829268292682927,0.0,5.0,1010.0,0.005,65.0,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185
263,Mookie Blaylock,1993-94,19.6,0.487,19.8,5.7,5.7,0.6951219512195121,0.0,1.0,1010.0,0.001,81.0,36.0,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168
264,Kevin Johnson,1993-94,20.6,0.566,24.3,3.4,3.4,0.6829268292682927,0.0,1.0,1010.0,0.001,67.0,36.6,20.0,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17
265,Dennis Rodman,1993-94,13.4,0.549,7.1,1.0,2.3,0.6707317073170732,0.0,1.0,1010.0,0.001,79.0,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14
266,Latrell Sprewell,1993-94,15.9,0.532,21.5,1.9,3.5,0.6097560975609756,0.0,1.0,1010.0,0.001,82.0,43.1,21.0,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8.0,0.108
267,John Stockton,1993-94,22.5,0.608,19.1,8.0,7.5,0.6463414634146342,0.0,1.0,1010.0,0.001,82.0,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214
268,Dominique Wilkins,1993-94,21.8,0.535,31.9,2.2,1.0,0.0,0.0,1.0,1010.0,0.001,74.0,35.6,26.0,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153
269,Kevin Willis,1993-94,19.4,0.538,24.1,0.4,1.7,0.6951219512195121,0.0,1.0,1010.0,0.001,80.0,35.8,19.1,12.0,1.9,1.0,0.5,0.499,0.375,0.713,10.2,0.17
270,David Robinson,1994-95,29.1,0.602,29.9,9.2,8.7,0.7560975609756098,73.0,901.0,1050.0,0.858,81.0,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
271,Shaquille O'Neal,1994-95,28.6,0.588,31.9,5.8,5.7,0.6951219512195121,12.0,605.0,1050.0,0.576,79.0,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.533,14.0,0.23
272,Karl Malone,1994-95,25.1,0.59,30.3,5.6,6.0,0.7317073170731707,14.0,532.0,1050.0,0.507,82.0,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,13.8,0.212
273,Patrick Ewing,1994-95,21.9,0.555,30.7,3.5,4.1,0.6707317073170732,2.0,230.0,1050.0,0.219,79.0,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.286,0.75,9.6,0.157
274,Hakeem Olajuwon,1994-95,26.0,0.563,31.7,5.4,5.4,0.573170731707317,1.0,147.0,1050.0,0.14,72.0,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
275,Charles Barkley,1994-95,25.2,0.572,27.5,6.3,5.0,0.7195121951219512,1.0,96.0,1050.0,0.091,68.0,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
276,Scottie Pippen,1994-95,22.6,0.559,26.3,7.5,7.2,0.573170731707317,1.0,83.0,1050.0,0.079,79.0,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
277,John Stockton,1994-95,23.3,0.651,18.9,9.0,7.9,0.7317073170731707,1.0,47.0,1050.0,0.045,82.0,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
278,Gary Payton,1994-95,21.3,0.564,24.4,4.9,5.2,0.6951219512195121,0.0,34.0,1050.0,0.032,82.0,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
279,Anfernee Hardaway,1994-95,20.8,0.599,23.7,4.1,4.5,0.6951219512195121,0.0,23.0,1050.0,0.022,77.0,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
280,Michael Jordan,1994-95,22.1,0.493,33.2,4.2,1.1,0.573170731707317,0.0,12.0,1050.0,0.011,17.0,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
281,Dennis Rodman,1994-95,16.6,0.604,10.9,1.8,1.5,0.7560975609756098,0.0,9.0,1050.0,0.009,49.0,32.0,7.1,16.8,2.0,0.6,0.5,0.571,0.0,0.676,5.8,0.178
282,Jason Kidd,1994-95,15.1,0.471,19.0,1.2,2.0,0.43902439024390244,0.0,7.0,1050.0,0.007,79.0,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
283,Clyde Drexler,1994-95,22.1,0.613,24.2,5.0,2.3,0.0,0.0,3.0,1050.0,0.003,76.0,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206
284,Cedric Ceballos,1994-95,19.9,0.57,26.5,0.9,1.5,0.5853658536585366,0.0,1.0,1050.0,0.001,58.0,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,5.2,0.123
285,Michael Jordan,1995-96,29.4,0.582,33.3,10.5,9.8,0.8780487804878049,109.0,1114.0,1130.0,0.986,82.0,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
286,David Robinson,1995-96,29.4,0.589,28.8,8.9,8.3,0.7195121951219512,0.0,574.0,1130.0,0.508,82.0,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,18.3,0.29
287,Anfernee Hardaway,1995-96,24.6,0.605,25.5,7.2,6.9,0.7317073170731707,2.0,360.0,1130.0,0.319,82.0,36.8,21.7,4.3,7.1,2.0,0.5,0.513,0.314,0.767,14.4,0.229
288,Hakeem Olajuwon,1995-96,25.5,0.558,31.9,4.9,4.9,0.5853658536585366,1.0,238.0,1130.0,0.211,72.0,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
289,Scottie Pippen,1995-96,21.0,0.551,24.4,6.3,5.9,0.8780487804878049,0.0,226.0,1130.0,0.2,77.0,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
290,Gary Payton,1995-96,19.6,0.554,23.6,4.6,5.2,0.7804878048780488,0.0,98.0,1130.0,0.087,81.0,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
291,Karl Malone,1995-96,26.0,0.575,29.8,7.0,7.1,0.6707317073170732,1.0,85.0,1130.0,0.075,82.0,38.0,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
292,Shawn Kemp,1995-96,22.6,0.631,26.2,2.8,3.2,0.7804878048780488,0.0,73.0,1130.0,0.065,79.0,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
293,Grant Hill,1995-96,20.9,0.537,25.9,4.8,5.6,0.5609756097560976,0.0,63.0,1130.0,0.056,80.0,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
294,Shaquille O'Neal,1995-96,26.4,0.57,32.8,3.7,2.8,0.7317073170731707,0.0,63.0,1130.0,0.056,54.0,36.0,26.6,11.0,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
295,John Stockton,1995-96,21.9,0.642,18.7,6.8,6.4,0.6707317073170732,0.0,12.0,1130.0,0.011,82.0,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13.0,0.214
296,Charles Barkley,1995-96,24.8,0.585,27.5,5.7,5.1,0.5,0.0,8.0,1130.0,0.007,71.0,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
297,Magic Johnson,1995-96,21.1,0.612,22.7,5.2,1.8,0.6463414634146342,0.0,8.0,1130.0,0.007,32.0,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181
298,Alonzo Mourning,1995-96,22.7,0.584,28.1,4.2,4.2,0.5121951219512195,0.0,6.0,1130.0,0.005,70.0,38.2,23.2,10.4,2.3,1.0,2.7,0.523,0.3,0.685,9.9,0.178
299,Dennis Rodman,1995-96,13.6,0.501,10.3,0.0,1.1,0.8780487804878049,0.0,4.0,1130.0,0.004,64.0,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143
300,Terrell Brandon,1995-96,25.2,0.573,27.6,7.5,6.2,0.573170731707317,0.0,3.0,1130.0,0.003,75.0,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237
301,Mitch Richmond,1995-96,19.2,0.591,26.9,3.5,4.1,0.47560975609756095,0.0,3.0,1130.0,0.003,81.0,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151
302,Karl Malone,1996-97,28.9,0.6,32.7,8.2,7.7,0.7804878048780488,63.0,986.0,1150.0,0.857,82.0,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0.0,0.755,16.7,0.268
303,Michael Jordan,1996-97,27.8,0.567,33.2,8.9,8.6,0.8414634146341463,52.0,957.0,1150.0,0.832,82.0,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283
304,Grant Hill,1996-97,25.5,0.556,28.3,8.2,8.0,0.6585365853658537,0.0,376.0,1150.0,0.327,80.0,39.3,21.4,9.0,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223
305,Tim Hardaway,1996-97,20.8,0.532,26.6,6.2,6.5,0.7439024390243902,0.0,238.0,1150.0,0.207,81.0,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198
306,Glen Rice,1996-97,19.7,0.605,26.9,1.8,3.2,0.6585365853658537,0.0,134.0,1150.0,0.117,79.0,42.6,26.8,4.0,2.0,0.9,0.3,0.477,0.47,0.867,10.8,0.154
307,Gary Payton,1996-97,21.8,0.545,26.4,5.5,6.1,0.6951219512195121,0.0,105.0,1150.0,0.091,82.0,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193
308,Hakeem Olajuwon,1996-97,22.7,0.558,30.4,3.5,4.0,0.6951219512195121,0.0,95.0,1150.0,0.083,78.0,36.6,23.2,9.2,3.0,1.5,2.2,0.51,0.313,0.787,9.1,0.154
309,Patrick Ewing,1996-97,21.3,0.548,29.8,2.8,3.5,0.6951219512195121,0.0,57.0,1150.0,0.05,78.0,37.0,22.4,10.7,2.0,0.9,2.4,0.488,0.222,0.754,9.8,0.163
310,Anthony Mason,1996-97,18.9,0.585,17.6,3.5,4.3,0.6585365853658537,0.0,7.0,1150.0,0.006,73.0,43.1,16.2,11.4,5.7,1.0,0.5,0.525,0.333,0.745,11.4,0.173
311,Shaquille O'Neal,1996-97,27.1,0.556,31.1,6.5,4.1,0.6829268292682927,0.0,7.0,1150.0,0.006,51.0,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0.0,0.484,8.0,0.197
312,Scottie Pippen,1996-97,21.3,0.554,24.6,5.7,6.1,0.8414634146341463,0.0,6.0,1150.0,0.005,82.0,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203
313,Alonzo Mourning,1996-97,21.6,0.578,27.5,2.9,2.9,0.7439024390243902,0.0,5.0,1150.0,0.004,66.0,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174
314,Dikembe Mutombo,1996-97,19.0,0.584,17.4,2.7,3.5,0.6829268292682927,0.0,4.0,1150.0,0.003,80.0,37.2,13.3,11.6,1.4,0.6,3.3,0.527,0.0,0.705,11.3,0.183
315,Mitch Richmond,1996-97,21.6,0.578,29.4,4.6,5.2,0.4146341463414634,0.0,4.0,1150.0,0.003,81.0,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166
316,John Stockton,1996-97,22.1,0.656,18.4,6.6,6.3,0.7804878048780488,0.0,3.0,1150.0,0.003,82.0,35.3,14.4,2.8,10.5,2.0,0.2,0.548,0.422,0.846,13.6,0.226
317,Charles Barkley,1996-97,23.0,0.581,23.2,5.7,3.9,0.6951219512195121,0.0,2.0,1150.0,0.002,53.0,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224
318,Tom Gugliotta,1996-97,19.0,0.526,27.5,1.7,2.9,0.4878048780487805,0.0,1.0,1150.0,0.001,81.0,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103
319,Allen Iverson,1996-97,18.0,0.513,28.9,0.9,2.2,0.2682926829268293,0.0,1.0,1150.0,0.001,76.0,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065
320,Kevin Johnson,1996-97,22.9,0.631,22.6,5.0,4.7,0.4878048780487805,0.0,1.0,1150.0,0.001,70.0,38.0,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211
321,Steve Smith,1996-97,17.4,0.548,25.0,1.7,2.7,0.6829268292682927,0.0,1.0,1150.0,0.001,72.0,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154
322,Michael Jordan,1997-98,25.2,0.533,33.7,6.9,7.1,0.7560975609756098,92.0,1084.0,1160.0,0.934,82.0,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
323,Karl Malone,1997-98,27.9,0.597,31.8,7.3,7.1,0.7560975609756098,20.0,842.0,1160.0,0.726,81.0,37.4,27.0,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259
324,Gary Payton,1997-98,21.6,0.544,24.6,5.1,5.7,0.7439024390243902,3.0,431.0,1160.0,0.372,82.0,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19
325,Shaquille O'Neal,1997-98,28.8,0.587,32.9,5.8,4.3,0.7439024390243902,1.0,311.0,1160.0,0.268,60.0,36.3,28.3,11.4,2.4,0.7,2.4,0.584,0.0,0.527,10.2,0.224
326,Tim Duncan,1997-98,22.6,0.577,26.0,4.6,5.4,0.6829268292682927,0.0,148.0,1160.0,0.128,82.0,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0.0,0.662,12.8,0.192
327,Tim Hardaway,1997-98,20.6,0.53,25.6,5.2,5.5,0.6707317073170732,0.0,71.0,1160.0,0.061,81.0,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185
